input_length,config,runs,mean_acc,std_acc
81,INT 2-4-2-4,5,94.851,1.5518279543815383
81,INT 2-4-2-8,5,94.84700000000001,1.5331404045292134
21,INT 8-8-2-4,5,94.82820000000001,1.7049183851434078
21,INT 8-8-2-8,5,94.8226,1.771334892108208
21,INT 8-4-2-4,5,94.8222,1.7069969830084588
21,INT 8-4-2-2,5,94.82079999999999,1.7165754279960979
81,INT 2-8-8-2,5,94.8012,1.3884535282104347
21,INT 8-8-4-8,5,94.801,1.9341257715050444
51,INT 2-4-2-8,5,94.7836,1.1406591515435271
31,INT 8-2-4-8,5,94.7788,3.834048343461522
21,INT 8-4-2-8,5,94.745,1.7315926195268945
81,INT 2-4-4-2,5,94.7448,1.5589335136560503
51,INT 2-2-2-8,5,94.6928,1.3103952457178685
81,INT 2-4-2-2,5,94.6754,1.677179268891671
31,INT 4-2-2-4,5,94.65520000000001,2.2136808035486975
51,INT 2-4-8-8,5,94.6534,1.613869976175281
51,INT 2-2-8-8,5,94.652,0.9236866351745071
101,INT 2-4-4-4,5,94.64,2.8729764182812207
51,INT 2-2-4-4,5,94.6276,0.8521433564841049
51,INT 2-4-4-4,5,94.6272,1.62624589161664
51,INT 2-2-4-8,5,94.6214,0.926228805425527
61,INT 2-2-2-4,5,94.6122,1.8956380719958132
31,INT 8-2-8-4,5,94.6042,4.393953481774699
