input_length,config,conv1_bits,conv2_bits,fc1_bits,fc2_bits,seed,label_detected,test_accuracy,train_seconds,status
101,INT 2-8-2-4,2,8,2,4,43,mixed,95.915,87.72380328178406,success
101,INT 2-8-2-4,2,8,2,4,44,mixed,97.276,88.32002425193787,success
101,INT 2-8-2-4,2,8,2,4,45,mixed,89.137,88.17162680625916,success
101,INT 2-8-2-4,2,8,2,4,46,mixed,92.829,88.40724229812622,success
101,INT 2-8-2-2,2,8,2,2,42,mixed,96.076,88.44662427902222,success
101,INT 2-8-2-2,2,8,2,2,43,mixed,96.532,87.64453959465027,success
101,INT 2-8-2-2,2,8,2,2,44,mixed,97.365,88.52863049507141,success
101,INT 2-8-2-2,2,8,2,2,45,mixed,88.934,87.97757387161255,success
101,INT 2-8-2-2,2,8,2,2,46,mixed,91.731,87.91896557807922,success
101,INT 2-4-8-8,2,4,8,8,42,mixed,96.128,87.63571047782898,success
101,INT 2-4-8-8,2,4,8,8,43,mixed,96.17,88.31940197944641,success
101,INT 2-4-8-8,2,4,8,8,44,mixed,97.045,87.57139587402344,success
101,INT 2-4-8-8,2,4,8,8,45,mixed,90.182,88.03531169891357,success
101,INT 2-4-8-8,2,4,8,8,46,mixed,87.749,88.11208915710449,success
101,INT 2-4-8-4,2,4,8,4,42,mixed,96.028,88.55384063720703,success
101,INT 2-4-8-4,2,4,8,4,43,mixed,95.894,87.85323977470398,success
101,INT 2-4-8-4,2,4,8,4,44,mixed,97.128,91.30763030052185,success
101,INT 2-4-8-4,2,4,8,4,45,mixed,90.224,88.1780104637146,success
101,INT 2-4-8-4,2,4,8,4,46,mixed,93.204,91.68959307670593,success
101,INT 2-4-8-2,2,4,8,2,42,mixed,95.906,88.04195666313171,success
101,INT 2-4-8-2,2,4,8,2,43,mixed,95.646,88.12014412879944,success
101,INT 2-4-8-2,2,4,8,2,44,mixed,97.255,88.2270667552948,success
101,INT 2-4-8-2,2,4,8,2,45,mixed,90.021,88.58654928207397,success
101,INT 2-4-8-2,2,4,8,2,46,mixed,92.336,87.63529300689697,success
101,INT 2-4-4-8,2,4,4,8,42,mixed,96.139,88.57337045669556,success
101,INT 2-4-4-8,2,4,4,8,43,mixed,95.58,88.50644016265869,success
101,INT 2-4-4-8,2,4,4,8,44,mixed,97.164,88.00946235656738,success
