ace_rank,alpha,config,mean_acc,std_acc,size_kb,ace,omega,hawq_rank,hawq_compression_ratio
138,91,INT 2-2-2-2,93.6158,3.6095,46.09,-0.056292338709677515,0.18227364122867584,1,4.0
139,21,INT 8-2-2-2,93.278,2.0733,11.135,-0.05969758064516126,0.13922807574272156,6,3.7207240487624675
140,21,INT 8-2-2-8,93.0784,2.2907,11.735,-0.06170967741935485,0.135406032204628,8,3.5627874071453838
141,71,INT 2-2-2-2,92.8464,2.7176,36.09,-0.0640483870967742,0.17355617880821228,1,4.0
142,21,INT 8-2-2-4,92.7032,2.3322,11.335,-0.06549193548387104,0.13554519414901733,7,3.6665453221696396
143,21,INT 4-2-2-4,92.2908,1.7151,11.305,-0.06964919354838708,0.1449623554944992,4,3.8428080885158336
144,21,INT 4-2-2-2,92.2892,1.8881,11.105,-0.06966532258064526,0.14864523708820343,3,3.9023634250290584
145,41,INT 2-2-2-2,91.7794,3.2124,21.09,-0.07480443548387104,0.11294378340244293,1,4.0
146,41,INT 2-2-2-8,91.7238,3.7475,21.69,-0.07536491935483877,0.1122249960899353,3,3.9039615846338536
147,21,INT 4-2-2-8,91.7088,2.0862,11.705,-0.07551612903225813,0.14482319355010986,5,3.728989263235839
148,41,INT 2-2-2-4,91.2676,3.6977,21.29,-0.07996370967741936,0.1122526079416275,2,3.9674664497763317
149,31,INT 2-2-2-2,89.8306,1.7907,16.09,-0.09444959677419354,0.20270919799804688,1,4.0
150,31,INT 2-2-2-4,89.7174,1.9928,16.29,-0.09559072580645166,0.20131251215934753,2,3.9571963616907437
151,21,INT 2-2-2-2,85.8428,2.6402,11.09,-0.13464919354838714,0.32973700761795044,1,4.0
152,21,INT 2-2-2-4,85.7348,3.1916,11.29,-0.1357379032258064,0.32605409622192383,2,3.9374511336982017
153,11,INT 8-8-8-8,84.8388,2.883,23.46,-0.14477016129032255,0.00030195567524060607,19,1.0
154,11,INT 8-4-4-8,84.8178,2.7238,12.31,-0.14498185483870965,0.021462513133883476,15,1.8965272856130404
155,11,INT 8-8-4-8,84.7912,3.174,12.46,-0.14525,0.0032853172160685062,17,1.6979695431472082
156,11,INT 8-8-8-4,84.652,2.9755,23.06,-0.14665322580645163,0.0017812104197219014,18,1.015174506828528
157,11,INT 8-8-2-8,84.5966,2.9857,6.96,-0.14721169354838717,0.06345651298761368,12,2.608187134502924
158,11,INT 8-8-4-4,84.5806,3.3592,12.06,-0.14737298387096773,0.004764572251588106,16,1.7421875
159,11,INT 8-4-4-4,84.5492,2.2897,11.91,-0.1476895161290323,0.022941768169403076,14,1.951859956236324
160,11,INT 8-4-4-2,84.378,2.3113,11.71,-0.1494153225806452,0.06173184886574745,13,1.9807549962990378
161,11,INT 8-8-2-4,84.3016,2.4354,6.56,-0.15018548387096783,0.06493576616048813,11,2.713995943204868
162,11,INT 8-4-2-4,84.2536,2.6575,6.41,-0.15066935483870963,0.08311296254396439,9,3.2594397076735686
163,11,INT 8-4-2-8,84.2438,3.2457,6.81,-0.15076814516129042,0.08163370937108994,10,3.1080139372822297
164,11,INT 8-4-2-2,84.113,2.9491,6.21,-0.15208669354838714,0.12190304696559906,8,3.3408239700374533
165,11,INT 4-4-2-4,83.6488,3.015,6.38,-0.15676612903225814,0.13679423928260803,7,3.3959390862944163
166,11,INT 4-4-2-2,83.2898,3.1006,6.18,-0.16038508064516133,0.1755843162536621,6,3.484375
167,11,INT 8-2-2-4,82.3026,2.1917,6.335,-0.17033669354838715,0.5851308107376099,5,3.6235612728503725
168,11,INT 8-2-2-2,82.1216,0.9464,6.135,-0.17216129032258065,0.6239209175109863,4,3.7244258872651357
169,11,INT 4-2-2-4,81.187,1.6464,6.305,-0.18158266129032263,0.6388120651245117,3,3.793054571226081
170,11,INT 4-2-2-2,80.9222,2.0444,6.105,-0.18425201612903225,0.6776021718978882,2,3.903719912472648
171,11,INT 2-2-2-2,74.1192,2.7822,6.09,-0.2528306451612903,2.0569911003112793,1,4.0
172,5,INT 8-8-8-4,69.9258,0.872,11.06,-0.29510282258064524,0.0036478820256888866,19,1.0327868852459017
